Source,Target,Strength,Type,Source_Group,Source_Importance,Source_Time,Source_Image,Target_Group,Target_Importance,Target_Time,Target_Image
thor,rocket,8,ally,Asgardians,8,14:30,,Guardians,5,6:00,
thor,groot,7,ally,Asgardians,8,14:30,,Guardians,3,3:15,
rocket,groot,10,ally,Guardians,5,6:00,,Guardians,3,3:15,
thor,eitri,6,ally,Asgardians,8,14:30,,Asgardians,2,2:30,
iron_man,doctor_strange,8,ally,Avengers,9,18:00,,Mystic Arts,7,13:00,
iron_man,spider_man,9,ally,Avengers,9,18:00,,Avengers,5,7:00,
iron_man,star_lord,6,ally,Avengers,9,18:00,,Guardians,6,11:00,
doctor_strange,spider_man,7,ally,Mystic Arts,7,13:00,,Avengers,5,7:00,
doctor_strange,wong,9,ally,Mystic Arts,7,13:00,,Mystic Arts,3,2:30,
star_lord,drax,9,ally,Guardians,6,11:00,,Guardians,4,5:00,
star_lord,mantis,8,ally,Guardians,6,11:00,,Guardians,3,4:00,
drax,mantis,7,ally,Guardians,4,5:00,,Guardians,3,4:00,
vision,scarlet_witch,10,romantic,Avengers,5,8:00,,Avengers,5,7:30,
captain_america,scarlet_witch,7,ally,Avengers,6,7:00,,Avengers,5,7:30,
captain_america,black_widow,9,ally,Avengers,6,7:00,,Avengers,5,5:30,
captain_america,falcon,9,ally,Avengers,6,7:00,,Avengers,3,2:00,
captain_america,winter_soldier,10,ally,Avengers,6,7:00,,Avengers,2,2:00,
black_widow,falcon,7,ally,Avengers,5,5:30,,Avengers,3,2:00,
black_widow,winter_soldier,6,ally,Avengers,5,5:30,,Avengers,2,2:00,
captain_america,black_panther,7,ally,Avengers,6,7:00,,Wakanda,5,5:00,
black_panther,okoye,10,ally,Wakanda,5,5:00,,Wakanda,3,3:00,
black_panther,shuri,9,family,Wakanda,5,5:00,,Wakanda,2,1:00,
black_panther,mbaku,7,ally,Wakanda,5,5:00,,Wakanda,2,1:00,
okoye,shuri,7,ally,Wakanda,3,3:00,,Wakanda,2,1:00,
iron_man,pepper_potts,10,romantic,Avengers,9,18:00,,Supporting,1,1:30,
star_lord,gamora,10,romantic,Guardians,6,11:00,,Guardians,7,14:00,
gamora,nebula,8,family,Guardians,7,14:00,,Guardians,3,3:00,
gamora,drax,8,ally,Guardians,7,14:00,,Guardians,4,5:00,
gamora,rocket,7,ally,Guardians,7,14:00,,Guardians,5,6:00,
gamora,groot,6,ally,Guardians,7,14:00,,Guardians,3,3:15,
gamora,mantis,6,ally,Guardians,7,14:00,,Guardians,3,4:00,
star_lord,rocket,9,ally,Guardians,6,11:00,,Guardians,5,6:00,
star_lord,groot,8,ally,Guardians,6,11:00,,Guardians,3,3:15,
nebula,rocket,5,ally,Guardians,3,3:00,,Guardians,5,6:00,
thor,loki,9,family,Asgardians,8,14:30,,Asgardians,4,3:00,
thor,heimdall,7,ally,Asgardians,8,14:30,,Asgardians,1,0:45,
loki,heimdall,5,ally,Asgardians,4,3:00,,Asgardians,1,0:45,
iron_man,hulk,7,ally,Avengers,9,18:00,,Avengers,5,7:00,
iron_man,captain_america,6,ally,Avengers,9,18:00,,Avengers,6,7:00,
iron_man,war_machine,10,ally,Avengers,9,18:00,,Avengers,3,3:00,
hulk,thor,7,ally,Avengers,5,7:00,,Asgardians,8,14:30,
captain_america,vision,6,ally,Avengers,6,7:00,,Avengers,5,8:00,
war_machine,falcon,7,ally,Avengers,3,3:00,,Avengers,3,2:00,
captain_america,groot,5,ally,Avengers,6,7:00,,Guardians,3,3:15,
winter_soldier,rocket,6,ally,Avengers,2,2:00,,Guardians,5,6:00,
vision,shuri,5,ally,Avengers,5,8:00,,Wakanda,2,1:00,
thanos,iron_man,9,enemy,Villain,10,29:00,,Avengers,9,18:00,
thanos,thor,9,enemy,Villain,10,29:00,,Asgardians,8,14:30,
thanos,captain_america,8,enemy,Villain,10,29:00,,Avengers,6,7:00,
thanos,doctor_strange,9,enemy,Villain,10,29:00,,Mystic Arts,7,13:00,
thanos,star_lord,8,enemy,Villain,10,29:00,,Guardians,6,11:00,
