Source,Target,Strength,Type,Source_Group,Source_Importance,Source_Image,Target_Group,Target_Importance,Target_Image
Chewbacca,Han,77,ally,Rebels,145,images/chewbacca.jpg,Rebels,170,images/han.jpg
Han,Leia,69,romantic,Rebels,170,images/han.jpg,Rebels,99,
C-3PO,R2-D2,55,ally,Droids,151,images/c_3po.jpg,Droids,171,images/r2_d2.jpg
C-3PO,Han,54,ally,Droids,151,images/c_3po.jpg,Rebels,170,images/han.jpg
C-3PO,Leia,49,ally,Droids,151,images/c_3po.jpg,Rebels,99,
Chewbacca,Leia,48,ally,Rebels,145,images/chewbacca.jpg,Rebels,99,
Darth Vader,Obi-Wan,47,enemy,Empire,190,images/darth_vader.jpg,Jedi Order,148,images/obi_wan.jpg
Han,Luke,43,ally,Rebels,170,images/han.jpg,Rebels,161,images/luke.jpg
Darth Vader,Padme,41,romantic,Empire,190,images/darth_vader.jpg,Republic,75,
C-3PO,Chewbacca,39,ally,Droids,151,images/c_3po.jpg,Rebels,145,images/chewbacca.jpg
Luke,R2-D2,34,ally,Rebels,161,images/luke.jpg,Droids,171,images/r2_d2.jpg
Darth Vader,R2-D2,32,ally,Empire,190,images/darth_vader.jpg,Droids,171,images/r2_d2.jpg
Chewbacca,Luke,32,ally,Rebels,145,images/chewbacca.jpg,Rebels,161,images/luke.jpg
C-3PO,Luke,29,ally,Droids,151,images/c_3po.jpg,Rebels,161,images/luke.jpg
Finn,Rey,29,ally,Resistance,64,images/finn.jpg,Resistance,57,images/rey.jpg
Obi-Wan,R2-D2,28,ally,Jedi Order,148,images/obi_wan.jpg,Droids,171,images/r2_d2.jpg
Obi-Wan,Qui-Gon,26,ally,Jedi Order,148,images/obi_wan.jpg,Jedi Order,62,images/qui_gon.jpg
Leia,Luke,26,ally,Rebels,99,,Rebels,161,images/luke.jpg
Padme,R2-D2,24,ally,Republic,75,,Droids,171,images/r2_d2.jpg
Leia,R2-D2,23,ally,Rebels,99,,Droids,171,images/r2_d2.jpg
Finn,Han,23,ally,Resistance,64,images/finn.jpg,Rebels,170,images/han.jpg
Darth Vader,Qui-Gon,22,enemy,Empire,190,images/darth_vader.jpg,Jedi Order,62,images/qui_gon.jpg
Jar Jar,Qui-Gon,22,ally,Naboo,42,images/jar_jar.jpg,Jedi Order,62,images/qui_gon.jpg
Luke,Obi-Wan,22,ally,Rebels,161,images/luke.jpg,Jedi Order,148,images/obi_wan.jpg
